incident_id,offense_id,offense_code,offense_code_extension,offense_type_id,offense_category_id,year,first_occurrence_date,last_occurrence_date,reported_date,incident_address,geo_x,geo_y,geo_lon,geo_lat,district_id,precinct_id,neighborhood_id,is_crime,is_traffic,victim_count
201973790,2.01974E+14,4899,0,police-interference,all-other-crimes,2019,2/2/2019,,2/2/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2022142609,2.02214E+15,5309,0,harassment,public-disorder,2022,3/19/2022,,3/23/2022,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2022375552,2.02238E+15,5312,0,disturbing-the-peace,public-disorder,2022,7/24/2022,,7/24/2022,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
201991579,2.01992E+14,5312,0,disturbing-the-peace,public-disorder,2019,2/10/2019,2/10/2019,2/10/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
201973790,2.01974E+14,5707,0,criminal-trespassing,all-other-crimes,2019,2/2/2019,,2/2/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2018734213,2.01873E+15,7399,2,public-order-crimes-other,all-other-crimes,2018,10/27/2018,,10/27/2018,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2022203969,2.0222E+15,1313,0,assault-simple,other-crimes-against-persons,2022,4/24/2022,4/24/2022,4/24/2022,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2019109456,2.01911E+15,1313,0,assault-simple,other-crimes-against-persons,2019,2/17/2019,2/17/2019,2/18/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2021566045,2.02157E+15,1313,0,assault-simple,other-crimes-against-persons,2021,9/27/2021,9/27/2021,10/2/2021,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
201991579,2.01992E+14,1313,0,assault-simple,other-crimes-against-persons,2019,2/10/2019,2/10/2019,2/10/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2022125581,2.02213E+15,1313,0,assault-simple,other-crimes-against-persons,2022,3/13/2022,,3/13/2022,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2022375552,2.02238E+15,1313,0,assault-simple,other-crimes-against-persons,2022,7/24/2022,,7/24/2022,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2019182259,2.01918E+15,1313,3,assault-police-simple,other-crimes-against-persons,2019,3/23/2019,,3/23/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2018793845,2.01879E+15,1315,0,aggravated-assault,aggravated-assault,2018,11/22/2018,11/22/2018,11/22/2018,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,2
2019166180,2.01917E+15,1315,0,aggravated-assault,aggravated-assault,2019,3/16/2019,,3/16/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
2022189742,2.02219E+15,1315,0,aggravated-assault,aggravated-assault,2022,4/17/2022,,4/17/2022,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,2
2019540395,2.01954E+15,1315,0,aggravated-assault,aggravated-assault,2019,8/25/2019,,8/25/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20196002315,2.0196E+16,2308,0,theft-from-bldg,larceny,2019,3/16/2019,3/16/2019,3/17/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20196006581,2.0196E+16,2308,0,theft-from-bldg,larceny,2019,7/13/2019,7/13/2019,7/13/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20216023195,2.0216E+16,2308,0,theft-from-bldg,larceny,2021,11/27/2021,11/29/2021,11/29/2021,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20196010668,2.0196E+16,2308,0,theft-from-bldg,larceny,2019,10/27/2019,10/27/2019,10/27/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20196004415,2.0196E+16,2308,0,theft-from-bldg,larceny,2019,5/19/2019,5/19/2019,5/19/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20216022444,2.0216E+16,2308,0,theft-from-bldg,larceny,2021,11/12/2021,11/12/2021,11/13/2021,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20206014550,2.0206E+16,2308,0,theft-from-bldg,larceny,2020,10/24/2020,10/24/2020,10/26/2020,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20196011933,2.0196E+16,2308,0,theft-from-bldg,larceny,2019,11/30/2019,11/30/2019,11/30/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
20196012544,2.0196E+16,2308,0,theft-from-bldg,larceny,2019,12/14/2019,12/17/2019,12/17/2019,2012 LARIMER ST,3142829,1699559,-104.9920165,39.7529984,6,612,five-points,1,0,1
